Marker;MedianMs;MeanMs;LowerQuartileMs;UpperQuartileMs;MaxMs;Count;CountPerFrame;PresentFrames;SelectedFrames
"mscorlib.dll!System.Collections.Generic::List`1..ctor()";10.3567;10.524212;10.2288;11.486;15.5356;97239;6077.4375;16;16
"mscorlib.dll!System.Collections.Generic::List`1.get_Item()";10.1983;9.33885;9.8435;10.5357;12.3925;974988;60936.75;16;16
"Game.Feature.UI.Application.dll!Game.Feature.UI.Application::GameplayUiPresentationSource.PublishSnapshot()";9.8033;9.75778;9.4368;10.6447;11.6879;113;7.0625;15;16
"mscorlib.dll!System.Collections.Generic::Dictionary`2.Resize()";9.613;12.178607;9.1537;10.2844;50.8776;15724;982.75;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPipeline.BuildPlayerFree2DLocalLocomotionPlans()";9.463;9.667273;9.0573;9.9232;15.4035;113;7.0625;15;16
"mscorlib.dll!System.Collections.Generic::Stack`1.PushWithResize()";9.2199;9.2199;9.2199;9.2199;9.2199;3060;191.25;1;16
"mscorlib.dll!System.Collections.Generic::List`1.AsReadOnly()";9.0332;8.931127;8.6459;9.6091;11.7465;49942;3121.375;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TileFeatureEffectResolver.Game.Feature.Gameplay.Loop.ITileEffectResolver.Resolve()";8.9402;8.73286;8.305;9.2338;10.0245;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TileFeatureEffectResolver.Resolve()";8.9319;8.704;8.2996;9.2285;10.0185;113;7.0625;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host.UIAccess::GameplayHostPlayerHudQuery.Read()";8.8125;8.680167;8.436;9.634;10.5534;113;7.0625;15;16
"Game.Feature.Gameplay.Vfx.Host.dll!Game.Feature.Gameplay.Vfx.Host::GameplayVfxGameObjectPool.Game.Feature.Gameplay.Vfx.IVfxPool.StartPersistent()";8.7575;8.7575;8.7575;8.7575;8.7575;2;0.125;1;16
"Game.Feature.Gameplay.Vfx.Host.dll!Game.Feature.Gameplay.Vfx.Host::GameplayVfxGameObjectPool.StartPersistent()";8.7246;8.7246;8.7246;8.7246;8.7246;2;0.125;1;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldSnapshot.EnumerateTileFeaturesOrdered()";8.6806;8.459573;8.2354;9.0698;10.9734;678;42.375;15;16
"mscorlib.dll!System.Collections.Generic::Stack`1.System.Collections.Generic.IEnumerable<T>.GetEnumerator()";8.6129;8.6129;8.6129;8.6129;8.6129;3060;191.25;1;16
"Game.Feature.Gameplay.Vfx.Host.dll!Game.Feature.Gameplay.Vfx.Host::GameplayVfxGameObjectPool.Play()";8.3965;8.3965;8.3965;8.3965;8.3965;2;0.125;1;16
"mscorlib.dll!System.Collections.Generic::Stack`1..ctor()";8.3729;8.29588;8.0112;8.9007;10.6691;51984;3249;15;16
